affected_unit_ids,correction_type,evidence,id,prior_upstream_report_disposition,rationale,recorded_at,responsible_workflow,schema_name,schema_version,source_defect,status,supersedes_id,target_action,upstream_report_disposition
"[""unit.o018.lab.ch13""]",source_terminology,"{""certificate"":""Fungsi 8000x+2000y diperkenalkan sebagai pendapatan tetapi kemudian disebut laba tanpa suku biaya."",""id"":""DEF-CH13-REVENUE-PROFIT-TERMS"",""source_location"":""bab otoritas baris 127--148"",""type"":""source_terminology""}",correction.o018.ch13.def-ch13-revenue-profit-terms,,Fungsi 8000x+2000y diperkenalkan sebagai pendapatan tetapi kemudian disebut laba tanpa suku biaya.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,Fungsi 8000x+2000y diperkenalkan sebagai pendapatan tetapi kemudian disebut laba tanpa suku biaya.,recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch14""]",source_note,"{""id"":""NOTE-CH14-BERN-TIME"",""status"":""corrected_in_id_source"",""text"":""Saksi hulu menampilkan Bern--Frankfurt sebagai 3.55; edisi id-ID memakai 3:55 sesuai solusi terpilih.""}",correction.o018.ch14.note-ch14-bern-time,,Saksi hulu menampilkan Bern--Frankfurt sebagai 3.55; edisi id-ID memakai 3:55 sesuai solusi terpilih.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,Saksi hulu menampilkan Bern--Frankfurt sebagai 3.55; edisi id-ID memakai 3:55 sesuai solusi terpilih.,recorded,,corrected_in_id_source,not_opened; no author contact during production
"[""unit.o018.lab.ch14""]",source_note,"{""id"":""NOTE-CH14-HARDCODED-REFS"",""status"":""recorded"",""text"":""Keterampilan 11 dan 14 merujuk nomor soal secara manual, sehingga rentan terhadap penyisipan atau pengurutan ulang.""}",correction.o018.ch14.note-ch14-hardcoded-refs,,"Keterampilan 11 dan 14 merujuk nomor soal secara manual, sehingga rentan terhadap penyisipan atau pengurutan ulang.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Keterampilan 11 dan 14 merujuk nomor soal secara manual, sehingga rentan terhadap penyisipan atau pengurutan ulang.",recorded,,recorded,not_opened; no author contact during production
"[""unit.o018.lab.ch14""]",source_note,"{""id"":""NOTE-CH14-LOWRES-EXERCISES"",""status"":""preserved_with_rubric"",""text"":""Keterampilan 1--2 bergantung pada raster beresolusi rendah; rincian konstruksi tidak dipaksakan melampaui yang terlihat.""}",correction.o018.ch14.note-ch14-lowres-exercises,,Keterampilan 1--2 bergantung pada raster beresolusi rendah; rincian konstruksi tidak dipaksakan melampaui yang terlihat.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,Keterampilan 1--2 bergantung pada raster beresolusi rendah; rincian konstruksi tidak dipaksakan melampaui yang terlihat.,recorded,,preserved_with_rubric,not_opened; no author contact during production
"[""unit.o018.lab.ch14""]",source_note,"{""id"":""NOTE-CH14-PRIM-FLOAT"",""status"":""preserved_and_disambiguated"",""text"":""Gambar Prim tujuh simpul setelah Latihan 14.3 bukan graf latihan enam simpul; lab memakai data latihan yang eksplisit.""}",correction.o018.ch14.note-ch14-prim-float,,Gambar Prim tujuh simpul setelah Latihan 14.3 bukan graf latihan enam simpul; lab memakai data latihan yang eksplisit.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,Gambar Prim tujuh simpul setelah Latihan 14.3 bukan graf latihan enam simpul; lab memakai data latihan yang eksplisit.,recorded,,preserved_and_disambiguated,not_opened; no author contact during production
"[""unit.o018.lab.ch15""]",source_model_semantics,"{""certificate"":""Frasa 'tepat satu kendala berlaku' tidak ekuivalen dengan formulasi Big-M standar: titik asal memenuhi kedua kendala namun tetap layak untuk kedua nilai pemilih. Manual memberi qaflag yang sama."",""id"":""DEF-CH15-EITHER-OR-SEMANTICS"",""source_location"":""Latihan ex:either-or-modes dan manual 15.10"",""type"":""source_model_semantics""}",correction.o018.ch15.def-ch15-either-or-semantics,,Frasa 'tepat satu kendala berlaku' tidak ekuivalen dengan formulasi Big-M standar: titik asal memenuhi kedua kendala namun tetap layak untuk kedua nilai pemilih. Manual memberi qaflag yang sama.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,Frasa 'tepat satu kendala berlaku' tidak ekuivalen dengan formulasi Big-M standar: titik asal memenuhi kedua kendala namun tetap layak untuk kedua nilai pemilih. Manual memberi qaflag yang sama.,recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch15""]",source_solution_completeness_history,"{""certificate"":""Pencacahan semua 15 pasangan distrik menghasilkan tepat tiga optimum: {2,5}, {3,4}, dan {1,6}. Saksi yang dibekukan sudah mencatat bahwa solusi terpilih dahulu melewatkan pasangan {1,6}."",""id"":""DEF-CH15-FIRE-PLACEMENTS"",""source_location"":""Latihan ex:fire-warmup, Solusi Terpilih, dan manual 15.3"",""type"":""source_solution_completeness_history""}",correction.o018.ch15.def-ch15-fire-placements,,"Pencacahan semua 15 pasangan distrik menghasilkan tepat tiga optimum: {2,5}, {3,4}, dan {1,6}. Saksi yang dibekukan sudah mencatat bahwa solusi terpilih dahulu melewatkan pasangan {1,6}.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Pencacahan semua 15 pasangan distrik menghasilkan tepat tiga optimum: {2,5}, {3,4}, dan {1,6}. Saksi yang dibekukan sudah mencatat bahwa solusi terpilih dahulu melewatkan pasangan {1,6}.",recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch01-shirt-ordering"",""unit.o018.lab.ch01-shirt-ordering.lp"",""unit.o018.lab.ch01-shirt-ordering.integer""]",output_semantics,"source/o018-open-solver-lab/ch01-shirt-ordering/data.json and results.json SHA-256 072e0e4fea8dd76a931dae1d2190605be6b015db7d19765a84d775d77fc82dbf, together with Chapter 1 exercise ex:shirt-full-lp.",correction.o018.result-order-chronology,,Explicit labels plus a separate ordered period array remove positional ambiguity without misrepresenting lexically sorted JSON object keys as chronological order.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,Order decisions need stable named day IDs rather than an unlabeled positional vector or reliance on JSON object order.,applied_in_target,,"Serialize every decision under its named order_day_id; define physical chronology through data.json periods[].order_day_id. The admitted values are Thursday 22, Friday 0, and Saturday 0 for both LP and integer modes; JSON key order is intentionally non-semantic.",not_upstream; local_adaptation_correction
"[""unit.r017.book1.ch02""]",mathematics,Chapter 2 screen-printing model and independent feasibility reasoning.,correction.r017.ch02-assumptions,hold_until_corpus_complete,The correction restores internal consistency and removes an unsafe modeling prescription.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"The assumptions discussion contradicts the screen-printing example's profit, press-time, and second-product data and says a fractional LP plan may simply be rounded without a feasibility check.",applied_in_target,,"Align the illustration with USD 10 and two press-hours per shirt plus tote bags, and state that the LP relaxation is a bound/guide whose rounded plan must be checked or replaced by an integer model.",not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",model_classification,Chapter 2 bakery display.,correction.r017.ch02-bakery-relaxation,hold_until_corpus_complete,The model-class boundary is explicit without changing coefficients or constraints.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,The bakery display is titled as a linear program while including an integer domain as though both domain statements applied simultaneously.,applied_in_target,,Present the continuous display as the LP relaxation and state outside it that whole-item production adds integrality and yields an integer program.,not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",mathematics,Chapter 2 two-machine model coefficients.,correction.r017.ch02-cabinet-dominance,hold_until_corpus_complete,The dominance argument is now numerically correct.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"A selected solution says a cabinet uses more resources than one bookcase plus one desk, but the coefficients are exactly equal in both resources.",applied_in_target,,State the exact equalities 3=1+2 and 4=2+2 and compare revenue 55 against 65.,not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",model_classification,Chapter 2 capital-allocation statement and solution.,correction.r017.ch02-capital-model-class,hold_until_corpus_complete,The name now matches the displayed binary domains.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,The capital-allocation prompt calls its binary 0-1 knapsack formulation a linear program.,applied_in_target,,Identify it as a binary integer program and 0-1 knapsack model.,not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",external_reference,Pinned notebook names and examplewithallcode argument contract.,correction.r017.ch02-code-link-order,hold_until_corpus_complete,Each reader control now identifies its actual solver implementation.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,The camping example passes the Gurobi notebook in the PuLP button position and the PuLP notebook in the Gurobi position.,applied_in_target,,Swap the two exact URLs into their correct macro argument positions.,not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",mathematics,Independent HiGHS replay of the displayed diet LP.,correction.r017.ch02-diet-metadata,hold_until_corpus_complete,The parameter inventory and verified LP optimum now match the displayed model.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"The second diet model uses calorie coefficients without listing calories as a parameter, and a stale source comment misstates the first diet optimum's cost/color.",applied_in_target,,"Add calories to the parameter list and correct the nonrendered optimum witness to x_1=4.0625, x_3=0.3125, cost 5.34375.",not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",mathematics,Linearity of expectation applied to the displayed objective.,correction.r017.ch02-expected-cost-direction,hold_until_corpus_complete,The optimization direction now matches the stated coefficient semantics.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,Exercise 2.12 calls c_i costs while its manual maximizes expected cost.,applied_in_target,,State that the deterministic plan minimizes expected cost and change the manual objective from max to min.,not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",mathematics,Pinned and translated Chapter 2 generic LP displays and independent mathematical replay.,correction.r017.ch02-generic-index-ranges,hold_until_corpus_complete,The symbols now agree with every displayed coefficient matrix row and right-hand side.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,The generic and three-variable LP parameter lists reverse row/column index ranges and name the right-hand side b_j even though the displayed models use m constraint rows and n variables.,applied_in_target,,"Use a_ij with i=1,...,m and j=1,...,n and b_i for i=1,...,m; use i=1,...,4 and j=1,...,3 in the concrete example.",not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",layout,Final Chapter 2 source and 87-page cumulative build; the final log has zero overfull-box hits and PDF geometry places the last line within the MediaBox.,correction.r017.ch02-id-layout-reflow,,"The localized reflow eliminates frame/media overflow and the sparse spill/blank verso while preserving every coefficient, domain, feasible-direction calculation, optimum, label, and exercise relation.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Indonesian reflow split the opening production-planning frame mid-sentence, pushed two indexed model qualifiers beyond the frame/media boundary, and left five lines of the final selected solution alone before an automatic blank verso.",applied_in_target,,"Add one Needspace guard before the production-planning example; express the same indexed scopes compactly as 'untuk tiap j', 'untuk tiap a', and i,j in {1,2,3}; and use a two-baseline page allowance plus a concise, mathematically equivalent Indonesian rendering of the rented-labor solution.",not_upstream; locale_specific_reflow
"[""unit.r017.book1.ch02""]",mathematics,"Chapter 2 production-planning statement, parameter list, and balance equations.",correction.r017.ch02-initial-inventory,hold_until_corpus_complete,Treating initial inventory as a free decision can trivialize the model.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"The production-planning prose defines s_0 as given initial inventory, but the model places it in the decision-variable nonnegativity line.",applied_in_target,,Declare fixed parameter s_0>=0 and remove it from the decision-variable domain.,not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",terminology,Chapter 2 Exercise 2.11 and both selected/manual solutions.,correction.r017.ch02-linear-constraint-wording,hold_until_corpus_complete,The classification now matches the displayed relation signs.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Exercise 2.11 asks which expressions are linear inequalities even though item 4 is an equality, and its answer calls both items 4 and 5 inequalities.",applied_in_target,,Ask for linear constraints and identify item 4 as a linear equality and item 5 as a linear inequality.,not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02.solutions-manual""]",rights_provenance,Pinned Chapter 2 exercise footnote and solutions-manual header/qaflags.,correction.r017.ch02-manual-provenance,hold_until_corpus_complete,The derivative does not manufacture rights conclusions that the pinned authority cannot prove.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,The source manual makes unsupported per-exercise origin and closed-license claims and retains a stale correction-history note.,applied_in_target,,Preserve the source's section-level Sekhon--Bloom attribution while explicitly declining unsupported item-level provenance inferences.,not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",mathematics,"Direct substitution and independent LP optimum (0,22,72,30), net profit 2448.",correction.r017.ch02-rented-labor-proof,hold_until_corpus_complete,The conclusion that all 30 hours are rented is now justified within the full feasible system.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,The rented-labor explanation compares product C's gross profit per labor-hour with rent while ignoring the binding machine constraint.,applied_in_target,,"Use feasible direction delta x_2=-0.2, delta x_3=0.8: it preserves machine use, consumes one extra labor-hour, raises gross profit by 10.20, and therefore nets 1.20 after rent.",not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",mathematics,Independent LP replay and direct substitution into all three nutrient constraints.,correction.r017.ch02-smoothie-optima,hold_until_corpus_complete,The revised solution describes the actual optimal face rather than a single solver vertex.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"The exercise and manual imply that (2,2,2) is the unique smoothie optimum.",applied_in_target,,"Ask whether the optimum is unique and give the full optimal family c=2, 3a+2b=10, 2<=b<=5, including (0,5,2), all at cost 5.20.",not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",mathematics,Independent LP/MIP replay gives base objectives 7.333... and 8; pinned notebook inventory.,correction.r017.ch02-staffing-integrality,hold_until_corpus_complete,"The mathematical model, narrative, and exact bundled notebook now agree.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Both staffing examples count employees but declare only continuous nonnegative variables; the base prose calls an independently solved integer plan a rounding, the extended objective is unstated, and its Gurobi link points to the base notebook.",applied_in_target,,"Declare integer nonnegative variables, distinguish LP relaxation from integer solution, state the extended employee-day objective, and point to work_scheduling_extended_gurobi.ipynb.",not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch02""]",terminology,Chapter 2 welding statement and model.,correction.r017.ch02-welding-semantics,hold_until_corpus_complete,No unmodeled costs are introduced and all units match the statement.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"The welding solution calls sales revenue a purchase price, describes TAA units as hours, and labels a revenue-only objective as profit.",applied_in_target,,"Use sales revenue, distinguish TAA units from joining/cutting hours, and label the objective revenue.",not_opened; user instructed no author contact; retained for local provenance only
"[""unit.r017.book1.ch03.text""]",accessibility,Eight pinned and translated Chapter 3 figure commands.,correction.r017.ch03-caption-closure,hold_until_corpus_complete,Reader captions now identify each Solver interface state without changing the images.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,All eight source figure captions are truncated fragments ending with ellipses.,applied_in_target,,Supply complete Indonesian captions consistent with the retained screenshots and detailed alt text.,not_opened; user instructed no author contact; retained for local provenance only
