id,name_en,prerequisite_concept_ids,recorded_at,responsible_workflow,schema_name,schema_version,status,supersedes_id
concept.matrix-inverse,matrix inverse,"[""concept.matrix-arithmetic"",""concept.gaussian-elimination""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.matrix-rank,matrix rank,"[""concept.linear-independence""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.maximum-flow,maximum flow,"[""concept.flow-conservation""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.minimum-cut,minimum cut,"[""concept.maximum-flow""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.minimum-spanning-tree,minimum spanning tree,"[""concept.graph-theory""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.mixed-integer-linear-programming,mixed-integer linear programming,"[""concept.linear-programming"",""concept.integer-linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.mixed-integer-nonlinear-programming,mixed-integer nonlinear programming,"[""concept.mixed-integer-linear-programming"",""concept.nonlinear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.model-development-cycle,model development cycle,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.modeling,modeling,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.multi-period-investment,multi-period capital investment model,"[""concept.capital-allocation"",""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.multicommodity-flow,multicommodity flow,"[""concept.network-flow"",""concept.flow-conservation""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.multiobjective-optimization,multiobjective optimization,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.network-flow,minimum-cost network flow,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.nonconvex-optimization,nonconvex optimization,"[""concept.nonlinear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.nonlinear-programming,nonlinear programming,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.objective-function,objective function,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.open-source-solver,open-source optimization solver workflow,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.operations-research,operations research,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.optimization,optimization,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.optimization-model,optimization model,"[""concept.mathematical-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.pareto-optimality,Pareto optimality,"[""concept.multiobjective-optimization""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.partitioned-variables,basic and nonbasic variable partition,"[""concept.basis-matrix""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.phase-one,simplex Phase I,"[""concept.simplex-algorithm"",""concept.artificial-variable""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.pivot-operation,simplex pivot operation,"[""concept.canonical-form"",""concept.basic-feasible-solution""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.polyhedron,polyhedron,"[""concept.halfspace"",""concept.feasible-region""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.prim-algorithm,Prim algorithm,"[""concept.minimum-spanning-tree""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.production-planning,production-planning model,"[""concept.linear-programming"",""concept.inventory-balance""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.pyomo-modeling,Pyomo modeling,"[""concept.python-optimization-workflow""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.python-optimization-workflow,Python optimization workflow,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.recession-direction,recession direction,"[""concept.feasible-region"",""concept.unbounded-linear-program""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.recession-ray,recession ray,"[""concept.polyhedron"",""concept.recession-direction""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.reduced-cost,reduced cost,"[""concept.sensitivity-analysis""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.reduced-row-echelon-form,reduced row echelon form,"[""concept.gaussian-elimination""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.representation-theorem,polyhedral representation theorem,"[""concept.polyhedron"",""concept.convex-combination"",""concept.recession-ray""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.reproducible-computation,reproducible computation,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.robust-optimization,robust optimization,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.row-operation,elementary row operation,"[""concept.linear-system""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.sensitivity-analysis,linear-programming sensitivity analysis,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.set-cover,set cover,"[""concept.binary-integer-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.shadow-price,shadow price,"[""concept.sensitivity-analysis""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.short-selling,short selling,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.shortest-path,shortest path,"[""concept.graph-theory""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.simplex-algorithm,simplex algorithm,"[""concept.pivot-operation"",""concept.extreme-point-optimality""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.simplex-optimality-condition,simplex reduced-cost optimality condition,"[""concept.reduced-cost"",""concept.basic-feasible-solution""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.simplex-tableau,simplex tableau,"[""concept.simplex-algorithm"",""concept.canonical-form""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.solver,solver,"[""concept.optimization""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.spreadsheet-formula,spreadsheet formula,"[""concept.spreadsheet-modeling""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.spreadsheet-modeling,spreadsheet modeling,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.standard-form,linear-program standard form,"[""concept.linear-programming"",""concept.linear-combination""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.stochastic-optimization,stochastic optimization,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.strong-duality,strong duality,"[""concept.weak-duality""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.summation-notation,summation notation,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.total-unimodularity,total unimodularity and integral network polyhedra,"[""concept.linear-programming"",""concept.assignment-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.transportation-model,transportation model,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.transshipment,transshipment model,"[""concept.network-flow"",""concept.flow-conservation""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.traveling-salesperson,traveling salesperson problem,"[""concept.hamilton-circuit""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.unbounded-linear-program,unbounded linear program,"[""concept.linear-programming"",""concept.feasible-region"",""concept.objective-function""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.unbounded-simplex,simplex unboundedness certificate,"[""concept.simplex-algorithm"",""concept.recession-direction""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.vector-norm,vector norm,"[""concept.vector-operations""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.vector-operations,vector operations,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.weak-duality,weak duality,"[""concept.dual-formulation""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.weighted-sum-method,weighted-sum method,"[""concept.pareto-optimality""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.workforce-scheduling,workforce-scheduling model,"[""concept.integer-linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
