additional_rights_component_ids,alignment_mode,asset_ids,code_data_refs,concept_ids,content_hash_guard,design_questions,edition_id,id,locale,order,parent_id,prerequisite_concept_ids,provenance,recorded_at,required_parameters,resource_id,responsible_workflow,rights_component_id,schema_name,schema_version,source_book_label,source_bytes,source_content_sha256,source_environment,source_file_sha256,source_line,source_line_end,source_local_id,source_locale,source_path,source_target_relationship,starred,status,supersedes_id,target_block_alignment_overrides,target_content_sha256,target_environment,target_hash_guard,target_line,target_line_end,target_local_id,target_locale,target_only_blocks,target_path,title_source,title_target,topology_order_path,topology_path,translation_state,unit_type
,,"[""asset.o018.ch03.license-code"",""asset.o018.ch03.verification-receipt""]","[""o018-open-solver-lab/ch03-spreadsheet-replacements/LICENSE-CODE.txt"",""o018-open-solver-lab/ch03-spreadsheet-replacements/verification-receipt.json""]","[""concept.open-source-solver"",""concept.reproducible-computation""]",pass,,edition.o018.id-id.draft,unit.o018.lab.ch03.attribution,id-ID,2,unit.o018.lab.ch03-spreadsheet-replacements,,locally authored primary derivative content with explicit source-adaptation relation,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,2285,bd2d0bfeb0be156586e9e91e2ce7eb8ebdffa635aa1dea5e5c765f3e9999476f,,,,,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,,,"[1,4,2]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.attribution""]",source_frozen,attribution
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.attribution.heading-001,id-ID,1,unit.o018.lab.ch03.attribution,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,03dc071d7418b1118ee89532ac9af8cea39cafb42b19638113ad47448fe2fb91,,,1,1,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,Atribusi dan hak komponen,,"[1,4,2,1]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.attribution"",""unit.o018.lab.ch03.attribution.heading-001""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.attribution.heading-002,id-ID,2,unit.o018.lab.ch03.attribution.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,3360c84e6b18898f47be92320248fc96657c28f355a6fd8c038d38028a13b6e4,,,3,3,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,"Soal, prosa, dan data adaptasi",,"[1,4,2,1,2]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.attribution"",""unit.o018.lab.ch03.attribution.heading-001"",""unit.o018.lab.ch03.attribution.heading-002""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.attribution.heading-003,id-ID,3,unit.o018.lab.ch03.attribution.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,ed9178ff7a813fa34b92a644442c5ea5644f297800df6b927e3b2644fba71868,,,25,25,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,Kode laboratorium,,"[1,4,2,1,3]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.attribution"",""unit.o018.lab.ch03.attribution.heading-001"",""unit.o018.lab.ch03.attribution.heading-003""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.attribution.heading-004,id-ID,4,unit.o018.lab.ch03.attribution.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,cf9234ecb2547cac4648dd50fc78497f1a75f1f0c6c075dce496e0edafee8906,,,31,31,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,Pemisahan dari perangkat lunak proprieter,,"[1,4,2,1,4]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.attribution"",""unit.o018.lab.ch03.attribution.heading-001"",""unit.o018.lab.ch03.attribution.heading-004""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.attribution.heading-005,id-ID,5,unit.o018.lab.ch03.attribution.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,4b673cbb4ba90257ae45663d3594acca57e61f17b2211a0c9fbc08002cd3880c,,,38,38,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,Runtime pihak ketiga yang dibekukan,,"[1,4,2,1,5]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.attribution"",""unit.o018.lab.ch03.attribution.heading-001"",""unit.o018.lab.ch03.attribution.heading-005""]",source_frozen,section
,,,,"[""concept.network-flow"",""concept.linear-programming"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.ex01,id-ID,1,unit.o018.lab.ch03-spreadsheet-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:excel-network-flow-rerun,,,,,verified,,,,,,,,,,,,,Jaringan biaya minimum,"[1,4,1]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.ex01""]",source_frozen,computational_lab
,,,,"[""concept.production-planning"",""concept.inventory-balance"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.ex02,id-ID,2,unit.o018.lab.ch03-spreadsheet-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:excel-production-rerun,,,,,verified,,,,,,,,,,,,,Perencanaan produksi sepuluh periode,"[1,4,2]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.ex02""]",source_frozen,computational_lab
,,,,"[""concept.diet-problem"",""concept.linear-programming"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.ex03,id-ID,3,unit.o018.lab.ch03-spreadsheet-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:excel-diet,,,,,verified,,,,,,,,,,,,,Diet kontinu,"[1,4,3]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.ex03""]",source_frozen,computational_lab
,,,,"[""concept.production-planning"",""concept.sensitivity-analysis"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.ex04,id-ID,4,unit.o018.lab.ch03-spreadsheet-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:excel-production-planning,,,,,verified,,,,,,,,,,,,,Produksi dua produk dan sensitivitas,"[1,4,4]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.ex04""]",source_frozen,computational_lab
,,,,"[""concept.transportation-model"",""concept.linear-programming"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.ex05,id-ID,5,unit.o018.lab.ch03-spreadsheet-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:excel-transportation,,,,,verified,,,,,,,,,,,,,Transportasi seimbang,"[1,4,5]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.ex05""]",source_frozen,computational_lab
,,,,"[""concept.sensitivity-analysis"",""concept.shadow-price"",""concept.reduced-cost"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.ex06,id-ID,6,unit.o018.lab.ch03-spreadsheet-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:excel-furniture-sensitivity,,,,,verified,,,,,,,,,,,,,Produksi furnitur dan sensitivitas,"[1,4,6]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.ex06""]",source_frozen,computational_lab
,,,,"[""concept.transportation-model"",""concept.sensitivity-analysis"",""concept.shadow-price"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.ex07,id-ID,7,unit.o018.lab.ch03-spreadsheet-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:excel-unbalanced-transportation,,,,,verified,,,,,,,,,,,,,Transportasi tak seimbang dan sensitivitas,"[1,4,7]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.ex07""]",source_frozen,computational_lab
,,,,"[""concept.linear-programming"",""concept.nonlinear-programming"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.ex08,id-ID,8,unit.o018.lab.ch03-spreadsheet-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:excel-solver-methods,,,,,verified,,,,,,,,,,,,,Perbandingan metode pemecah,"[1,4,8]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.ex08""]",source_frozen,conceptual_lab
,,,,"[""concept.short-selling"",""concept.linear-programming"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.ex09,id-ID,9,unit.o018.lab.ch03-spreadsheet-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:excel-short-selling,,,,,verified,,,,,,,,,,,,,Variabel bebas dan short selling,"[1,4,9]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.ex09""]",source_frozen,computational_lab
,,"[""asset.o018.ch03.data"",""asset.o018.ch03.expected-results"",""asset.o018.ch03.model"",""asset.o018.ch03.results"",""asset.o018.ch03.runner"",""asset.o018.ch03.tests"",""asset.o018.ch03.verification-receipt"",""asset.o018.ch03.verification-log"",""dependency.pyomo"",""dependency.highs"",""dependency.numpy""]","[""o018-open-solver-lab/ch03-spreadsheet-replacements/data.json"",""o018-open-solver-lab/ch03-spreadsheet-replacements/expected-results.json"",""o018-open-solver-lab/ch03-spreadsheet-replacements/model.py"",""o018-open-solver-lab/ch03-spreadsheet-replacements/results.json"",""o018-open-solver-lab/ch03-spreadsheet-replacements/run_lab.py"",""o018-open-solver-lab/ch03-spreadsheet-replacements/test_models.py""]","[""concept.open-source-solver"",""concept.reproducible-computation"",""concept.spreadsheet-modeling"",""concept.sensitivity-analysis""]",pass,,edition.o018.id-id.draft,unit.o018.lab.ch03.readme,id-ID,1,unit.o018.lab.ch03-spreadsheet-replacements,"[""concept.linear-programming"",""concept.integer-linear-programming"",""concept.nonlinear-programming""]",locally authored primary derivative content with explicit source-adaptation relation,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,5602,d1bfc1b01762cecd7cad0d6da824eab08e522e6b1b182170578210c1d56045df,,,,,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/README.md,,,source_frozen,,,,,,,,,,,,,,"[1,4,1]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.readme""]",source_frozen,laboratory_guide
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation"",""concept.spreadsheet-modeling"",""concept.sensitivity-analysis""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.readme.heading-001,id-ID,1,unit.o018.lab.ch03.readme,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,a420e7a7ae56d334158133a330fc6d302359749838dbc4131935def9207f6da3,,,1,1,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/README.md,,,source_frozen,,,,,,,,,,,,Pendamping terbuka Bab 3: pengganti lembar kerja,,"[1,4,1,1]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.readme"",""unit.o018.lab.ch03.readme.heading-001""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation"",""concept.spreadsheet-modeling"",""concept.sensitivity-analysis""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.readme.heading-002,id-ID,2,unit.o018.lab.ch03.readme.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,63b71307503deb121c03f1b147205bbdac988bb6186548abbbcd572647da9960,,,9,9,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/README.md,,,source_frozen,,,,,,,,,,,,Cakupan dan hasil acuan,,"[1,4,1,1,2]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.readme"",""unit.o018.lab.ch03.readme.heading-001"",""unit.o018.lab.ch03.readme.heading-002""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation"",""concept.spreadsheet-modeling"",""concept.sensitivity-analysis""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.readme.heading-003,id-ID,3,unit.o018.lab.ch03.readme.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,8f52b9518edaea0da22dd00d2f685183d9d2c79f1fd5952bc7d09aa7d0f43462,,,28,28,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/README.md,,,source_frozen,,,,,,,,,,,,Asumsi pemodelan,,"[1,4,1,1,3]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.readme"",""unit.o018.lab.ch03.readme.heading-001"",""unit.o018.lab.ch03.readme.heading-003""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation"",""concept.spreadsheet-modeling"",""concept.sensitivity-analysis""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.readme.heading-004,id-ID,4,unit.o018.lab.ch03.readme.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,54d12e6a461fe073aab08f162c42f790522ed630996055e1d8daec6c229332a4,,,49,49,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/README.md,,,source_frozen,,,,,,,,,,,,Latihan 3.8 secara ringkas,,"[1,4,1,1,4]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.readme"",""unit.o018.lab.ch03.readme.heading-001"",""unit.o018.lab.ch03.readme.heading-004""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation"",""concept.spreadsheet-modeling"",""concept.sensitivity-analysis""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.readme.heading-005,id-ID,5,unit.o018.lab.ch03.readme.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,2336aac0f30d436cb0c85b59b2c010f570e954524e7ceacf683898ca856f643b,,,64,64,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/README.md,,,source_frozen,,,,,,,,,,,,Menjalankan secara offline,,"[1,4,1,1,5]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.readme"",""unit.o018.lab.ch03.readme.heading-001"",""unit.o018.lab.ch03.readme.heading-005""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation"",""concept.spreadsheet-modeling"",""concept.sensitivity-analysis""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03.readme.heading-006,id-ID,6,unit.o018.lab.ch03.readme.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,fff297cd3ee8c544da19eb61ea9fced4cf0e0f3e3e4d99c96a7d66d3bac5523f,,,81,81,,id-ID,o018-open-solver-lab/ch03-spreadsheet-replacements/README.md,,,source_frozen,,,,,,,,,,,,Catatan koreksi terhadap authority,,"[1,4,1,1,6]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements"",""unit.o018.lab.ch03.readme"",""unit.o018.lab.ch03.readme.heading-001"",""unit.o018.lab.ch03.readme.heading-006""]",source_frozen,section
"[""rights.o018.code"",""rights.pyomo.runtime"",""rights.highspy.runtime"",""rights.numpy.runtime""]",,,,"[""concept.open-source-solver"",""concept.reproducible-computation"",""concept.compact-indexed-modeling"",""concept.assignment-model"",""concept.network-flow"",""concept.maximum-flow"",""concept.multicommodity-flow""]",,,edition.o018.id-id.draft,unit.o018.lab.ch04-compact-modeling-replacements,id-ID,5,unit.o018.lab,"[""concept.linear-programming"",""concept.integer-linear-programming""]",,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,,,,,,verified,,,,,,,,,,,,Chapter 4 compact-modeling replacement laboratory,Laboratorium pengganti pemodelan ringkas Bab 4,"[1,5]","[""unit.o018.lab"",""unit.o018.lab.ch04-compact-modeling-replacements""]",source_frozen,computational_lab_collection
,,,,"[""concept.absolute-value-linearization"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch04.absolute-deviation,id-ID,6,unit.o018.lab.ch04-compact-modeling-replacements,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,,,,,,verified,,,,,,,,,,,,,Deviasi mutlak minimum,"[1,5,6]","[""unit.o018.lab"",""unit.o018.lab.ch04-compact-modeling-replacements"",""unit.o018.lab.ch04.absolute-deviation""]",source_frozen,computational_lab
